id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475327,2010-01-01 00:01:00,1556,2972,-77.00,Swipe Transaction,59935,Beulah,ND,58523.0,5499,
7476918,2010-01-01 11:21:00,1515,5557,63.55,Swipe Transaction,31883,Atlantic City,NJ,8401.0,7995,
7478511,2010-01-01 17:34:00,154,5393,9.69,Swipe Transaction,43293,Fayetteville,NC,28312.0,5499,
7480072,2010-01-02 08:07:00,1575,224,0.98,Swipe Transaction,14528,Sarasota,FL,34235.0,5499,
7481662,2010-01-02 14:47:00,375,5537,6.42,Swipe Transaction,20561,Deep Gap,NC,28618.0,5912,
7483253,2010-01-03 06:05:00,744,4594,-66.00,Swipe Transaction,59935,Miami,FL,33196.0,5499,
7484874,2010-01-03 12:01:00,1844,3702,10.88,Swipe Transaction,59397,Corpus Christi,TX,78411.0,5812,
7486460,2010-01-03 19:01:00,997,5825,33.04,Online Transaction,18563,ONLINE,,,4121,
7488052,2010-01-04 09:10:00,870,1039,0.70,Swipe Transaction,14528,Waldorf,MD,20603.0,5499,
7489691,2010-01-04 15:07:00,1777,4557,69.07,Swipe Transaction,95855,Annandale,VA,22003.0,7538,
7491263,2010-01-05 06:34:00,48,5863,31.43,Swipe Transaction,43293,Albuquerque,NM,87106.0,5499,
7492902,2010-01-05 12:30:00,727,4698,11.50,Swipe Transaction,45926,Saint Louis,MO,63112.0,5814,
7494496,2010-01-05 19:49:00,376,4704,21.66,Swipe Transaction,87071,Vincentown,NJ,8088.0,4121,
7496065,2010-01-06 09:30:00,1369,5792,7.23,Swipe Transaction,75781,Edinburgh,IN,46124.0,5411,
7497665,2010-01-06 15:08:00,1135,4977,11.87,Online Transaction,16798,ONLINE,,,4121,
7499249,2010-01-07 06:21:00,205,2861,76.00,Swipe Transaction,43293,Great Falls,MT,59404.0,5499,
7500857,2010-01-07 12:23:00,1623,5142,69.93,Swipe Transaction,43293,Fort Thomas,KY,41075.0,5499,
7502432,2010-01-07 19:11:00,876,5773,79.84,Swipe Transaction,30286,Wichita,KS,67212.0,4814,
7504013,2010-01-08 10:23:00,1002,1149,80.00,Swipe Transaction,27092,Bakersfield,CA,93306.0,4829,
7505605,2010-01-08 16:45:00,719,5518,101.04,Swipe Transaction,42784,Rigby,ID,83442.0,5411,
7507164,2010-01-09 07:57:00,997,5046,49.89,Online Transaction,16798,ONLINE,,,4121,
7508778,2010-01-09 14:34:00,0,4639,-180.00,Swipe Transaction,78644,Las Vegas,NV,89148.0,3775,
7510348,2010-01-10 02:55:00,140,152,3.69,Swipe Transaction,76470,Whites Creek,TN,37189.0,5411,
7511942,2010-01-10 11:19:00,905,5087,17.64,Online Transaction,47399,ONLINE,,,5815,
